0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0
0.17229,3.6579e-05,0.0004203,0.17223,5.1425e-06,0.00048318,0.17222,7.1744e-07,0.00049203,0.17222,9.9985e-08,0.00049326,0.17222,1.3932e-08,0.00049343,0.17222,1.9413e-09,0.00049346
0.17188,7.8275e-05,0.00083037,0.17175,1.1118e-05,0.00096469,0.17173,1.5534e-06,0.00098382,0.17173,2.1653e-07,0.00098649,0.17172,3.0173e-08,0.00098686,0.17172,4.2043e-09,0.00098691
0.17148,0.00012645,0.0012275,0.17127,1.8181e-05,0.001444,0.17124,2.5446e-06,0.0014753,0.17123,3.5478e-07,0.0014797,0.17123,4.9439e-08,0.0014803,0.17123,6.8888e-09,0.0014804
0.1711,0.000183,0.0016078,0.17079,2.6699e-05,0.0019204,0.17075,3.7446e-06,0.0019664,0.17074,5.2224e-07,0.0019728,0.17074,7.2778e-08,0.0019737,0.17074,1.0141e-08,0.0019738
0.17075,0.00025064,0.001966,0.17032,3.7225e-05,0.0023929,0.17025,5.2347e-06,0.0024568,0.17025,7.3033e-07,0.0024658,0.17024,1.0178e-07,0.0024671,0.17024,1.4182e-08,0.0024673
0.17042,0.00033328,0.0022942,0.16985,5.0623e-05,0.0028595,0.16977,7.1426e-06,0.0029465,0.16975,9.9699e-07,0.0029588,0.16975,1.3895e-07,0.0029605,0.16975,1.9362e-08,0.0029607
0.17013,0.00043662,0.002581,0.16939,6.8277e-05,0.0033177,0.16928,9.6767e-06,0.0034349,0.16926,1.3516e-06,0.0034515,0.16926,1.8839e-07,0.0034539,0.16926,2.6251e-08,0.0034542
0.1699,0.00056871,0.0028103,0.16895,9.2461e-05,0.0037628,0.16879,1.3185e-05,0.0039213,0.16877,1.8432e-06,0.003944,0.16876,2.5695e-07,0.0039472,0.16876,3.5805e-08,0.0039476
0.16975,0.00073958,0.002962,0.16852,0.00012684,0.0041875,0.16831,1.8249e-05,0.0044047,0.16828,2.5543e-06,0.004436,0.16827,3.5614e-07,0.0044404,0.16827,4.9628e-08,0.0044411
0.16969,0.00095767,0.0030193,0.16813,0.00017682,0.004581,0.16783,2.5776e-05,0.0048831,0.16778,3.6148e-06,0.0049274,0.16778,5.0414e-07,0.0049336,0.16778,7.0254e-08,0.0049345
0.16973,0.0012223,0.0029835,0.16778,0.00024932,0.0049294,0.16736,3.706e-05,0.005354,0.16729,5.2121e-06,0.0054177,0.16728,7.2718e-07,0.0054266,0.16728,1.0134e-07,0.0054279
0.16983,0.0015203,0.0028809,0.1675,0.0003525,0.0052165,0.1669,5.3918e-05,0.0058137,0.16681,7.6156e-06,0.0059063,0.16679,1.0632e-06,0.0059194,0.16679,1.4818e-07,0.0059212
0.16997,0.0018342,0.0027465,0.16729,0.00049762,0.0054198,0.16646,7.9395e-05,0.0062562,0.16632,1.1288e-05,0.0063924,0.1663,1.5773e-06,0.0064118,0.1663,2.1987e-07,0.0064146
0.17011,0.0021517,0.002605,0.16721,0.00070118,0.0055061,0.16604,0.00011919,0.0066701,0.16584,1.7122e-05,0.0068742,0.16581,2.3961e-06,0.0069037,0.1658,3.3407e-07,0.0069078
0.17024,0.0024667,0.0024686,0.16727,0.00097848,0.005445,0.16568,0.00018293,0.0070361,0.16536,2.6729e-05,0.0073485,0.16532,3.7497e-06,0.0073944,0.16531,5.2297e-07,0.0074009
0.17037,0.0027767,0.0023421,0.16746,0.0013228,0.0052497,0.16538,0.00028332,0.0073287,0.1649,4.2553e-05,0.0078103,0.16483,5.9939e-06,0.0078834,0.16482,8.3645e-07,0.0078937
0.17049,0.0030812,0.0022264,0.16773,0.0017016,0.0049856,0.16519,0.00043561,0.0075176,0.16446,6.8354e-05,0.0082521,0.16434,9.6927e-06,0.0083695,0.16433,1.3539e-06,0.0083861
0.17059,0.0033805,0.0021212,0.168,0.0020851,0.004712,0.16516,0.00066288,0.0075565,0.16405,0.00011159,0.0086591,0.16386,1.6005e-05,0.0088503,0.16383,2.2392e-06,0.0088778
0.17069,0.0036751,0.0020255,0.16826,0.0024599,0.0044559,0.16531,0.00098954,0.0073967,0.16371,0.00018655,0.0090027,0.16339,2.7301e-05,0.0093212,0.16334,3.8308e-06,0.0093681
0.17077,0.0039654,0.0019384,0.16849,0.0028226,0.0042241,0.16565,0.0014014,0.0070664,0.16347,0.00031283,0.0092436,0.16294,4.7424e-05,0.0097744,0.16286,6.6893e-06,0.0098559
0.17085,0.004252,0.0018587,0.1687,0.0031733,0.0040161,0.16604,0.0018435,0.0066757,0.16338,0.00051483,0.009333,0.16251,8.2871e-05,0.010197,0.16237,1.1799e-05,0.010339
0.17093,0.0045353,0.0017856,0.16888,0.0035133,0.0038295,0.16641,0.0022777,0.0063007,0.16351,0.00082886,0.0091984,0.16215,0.00014795,0.01056,0.1619,2.1435e-05,0.010813
0.17099,0.0048157,0.0017183,0.16905,0.0038442,0.0036613,0.16675,0.002693,0.0059635,0.16389,0.0012653,0.0088191,0.1619,0.00026753,0.010815,0.16144,4.007e-05,0.011269
0.17106,0.0050934,0.0016562,0.1692,0.0041671,0.0035089,0.16705,0.0030892,0.0056646,0.16438,0.0017572,0.0083286,0.16181,0.00047226,0.010899,0.16102,7.5139e-05,0.011693
0.17111,0.0053689,0.0015987,0.16934,0.0044831,0.0033702,0.16731,0.0034687,0.0053991,0.16486,0.0022413,0.007854,0.16199,0.00080753,0.010721,0.16066,0.00014344,0.01205
