0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0
0.17195,0.00011027,0.00076639,0.17177,2.125e-05,0.00094442,0.17173,3.9694e-06,0.00097898,0.17173,7.3712e-07,0.00098545,0.17172,1.3673e-07,0.00098665,0.17172,2.5358e-08,0.00098687,0.17172,4.7026e-09,0.00098691,0.17172,8.7208e-10,0.00098692,0.17172,1.6173e-10,0.00098692
0.1713,0.00027893,0.001416,0.17085,5.7238e-05,0.0018594,0.17076,1.0827e-05,0.0019522,0.17074,2.0154e-06,0.0019698,0.17074,3.7401e-07,0.0019731,0.17074,6.9368e-08,0.0019737,0.17074,1.2864e-08,0.0019738,0.17074,2.3857e-09,0.0019738,0.17074,4.4242e-10,0.0019738
0.17087,0.00056015,0.0018405,0.17001,0.00012914,0.0027025,0.1698,2.5068e-05,0.0029106,0.16976,4.6893e-06,0.0029514,0.16975,8.7102e-07,0.002959,0.16975,1.6158e-07,0.0029604,0.16975,2.9966e-08,0.0029607,0.16975,5.5572e-09,0.0029608,0.16975,1.0306e-09,0.0029608
0.17078,0.0010104,0.001927,0.16935,0.00029098,0.0033657,0.16888,6.0066e-05,0.0038276,0.16879,1.1376e-05,0.0039249,0.16877,2.1181e-06,0.0039435,0.16876,3.9309e-07,0.0039469,0.16876,7.2907e-08,0.0039475,0.16876,1.3521e-08,0.0039477,0.16876,2.5074e-09,0.0039477
0.17093,0.0015756,0.0017834,0.16906,0.00064009,0.0036544,0.16808,0.00015345,0.0046277,0.16784,3.0073e-05,0.0048745,0.16779,5.6361e-06,0.0049233,0.16778,1.0473e-06,0.0049325,0.16778,1.9428e-07,0.0049342,0.16778,3.6032e-08,0.0049345,0.16778,6.6821e-09,0.0049346
0.17111,0.002162,0.0015976,0.16925,0.0012303,0.003461,0.1676,0.00040499,0.0051116,0.16697,8.7688e-05,0.0057462,0.16682,1.6779e-05,0.005888,0.1668,3.1301e-06,0.0059153,0.16679,5.811e-07,0.0059204,0.16679,1.0779e-07,0.0059213,0.16679,1.9989e-08,0.0059215
0.17128,0.0027378,0.0014329,0.16962,0.0019088,0.0030909,0.16772,0.00096075,0.004987,0.16635,0.00027189,0.0063647,0.16591,5.5814e-05,0.0067968,0.16582,1.0559e-05,0.0068873,0.16581,1.9654e-06,0.0069045,0.1658,3.6474e-07,0.0069077,0.1658,6.7649e-08,0.0069083
0.17142,0.0032997,0.0012959,0.16995,0.0025686,0.0027582,0.16825,0.0017178,0.0044598,0.16637,0.00077721,0.006341,0.16522,0.00020029,0.0074948,0.1649,4.0003e-05,0.0078154,0.16483,7.5255e-06,0.0078803,0.16482,1.3993e-06,0.0078926,0.16482,2.5963e-07,0.0078949
0.17153,0.00385,0.0011822,0.17022,0.0031975,0.0024873,0.16875,0.0024585,0.0039653,0.16702,0.0015963,0.0056897,0.16518,0.00067309,0.0075361,0.16416,0.00016511,0.0085521,0.16389,3.2548e-05,0.0088172,0.16384,6.107e-06,0.0088701,0.16383,1.135e-06,0.00888
0.17162,0.0043911,0.001087,0.17045,0.0038014,0.0022665,0.16914,0.0031498,0.0035697,0.16766,0.002411,0.0050473,0.16594,0.0015483,0.0067726,0.16412,0.0006368,0.0085956,0.16315,0.0001538,0.0095616,0.1629,3.0198e-05,0.0098088,0.16285,5.6616e-06,0.0098579
0.17171,0.0049249,0.0010063,0.17063,0.0043863,0.0020836,0.16946,0.0038021,0.0032519,0.16817,0.0031573,0.0045416,0.16671,0.002427,0.0060022,0.16501,0.0015748,0.0077065,0.16318,0.00066305,0.0095301,0.16218,0.0001625,0.010531,0.16192,3.2025e-05,0.010792
0.17177,0.0054531,0.00093691,0.17078,0.0049568,0.0019296,0.16972,0.0044261,0.0029909,0.16857,0.0038516,0.0041399,0.16731,0.003219,0.0054051,0.16588,0.0025051,0.0068329,0.16422,0.0016744,0.0084943,0.16238,0.00075645,0.01033,0.16126,0.00019472,0.011454
0.17183,0.0059766,0.00087671,0.17091,0.0055161,0.0017979,0.16994,0.0050288,0.0027723,0.1689,0.004509,0.003812,0.16778,0.0039478,0.0049344,0.16655,0.0033323,0.0061654,0.16516,0.0026416,0.0075468,0.16357,0.0018425,0.0091449,0.16174,0.00092843,0.010973
0.17189,0.0064965,0.00082394,0.17103,0.0060665,0.0016839,0.17013,0.0056155,0.0025859,0.16917,0.0051394,0.0035382,0.16816,0.0046328,0.0045514,0.16707,0.0040879,0.0056412,0.16588,0.0034933,0.0068303,0.16456,0.002831,0.0081548,0.16304,0.0020718,0.0096734
0.17193,0.0070133,0.0007773,0.17113,0.0066099,0.0015841,0.17029,0.0061895,0.0024248,0.16941,0.0057494,0.003305,0.16848,0.0052861,0.0042317,0.1675,0.0047946,0.0052147,0.16644,0.0042683,0.0062673,0.1653,0.0036974,0.0074091,0.16404,0.0030668,0.0086702
0.17198,0.0075275,0.00073576,0.17122,0.0071474,0.001496,0.17043,0.0067534,0.0022839,0.16961,0.0063437,0.0031034,0.16875,0.0059157,0.0039594,0.16785,0.0054663,0.0048582,0.1669,0.0049913,0.0058081,0.16589,0.0044851,0.0068206,0.1648,0.0039394,0.0079119
0.17201,0.0080396,0.00069852,0.17129,0.0076801,0.0014176,0.17055,0.0073091,0.0021595,0.16978,0.0069253,0.0029271,0.16899,0.0065269,0.0037238,0.16816,0.0061118,0.0045541,0.16729,0.0056772,0.0054232,0.16637,0.0052196,0.0063384,0.1654,0.0047343,0.0073092
