1.2662e+11,1.1845e+11,2.2159e+15,0,0,0,0,0,0,1.2662e+11,1.1845e+11,2.2159e+15,0,0,0,0,0,0,1.2662e+11,1.1845e+11,2.2159e+15,0,0,0,0,0,0,1.2662e+11,1.1845e+11,2.2159e+15,0,0,0,0,0,0
1.2349e+11,1.1552e+11,2.1556e+15,2.9431e+11,0.048744,3.4184,2.9734e-14,6.7881,6.7881,1.2631e+11,1.1815e+11,2.2042e+15,2.9457e+10,0.0051017,0.34995,3.1152e-16,0.6948,0.6948,1.2659e+11,1.1842e+11,2.2091e+15,2.8773e+09,0.00050054,0.034259,2.9854e-18,0.068018,0.068018,1.2662e+11,1.1844e+11,2.2095e+15,2.8037e+08,4.8795e-05,0.003339,2.8359e-20,0.0066293,0.0066293
1.2021e+11,1.1245e+11,2.0929e+15,6.013e+11,0.094143,6.7985,1.1766e-13,13.503,13.503,1.2596e+11,1.1783e+11,2.1919e+15,6.1963e+10,0.010643,0.73411,1.371e-15,1.4576,1.4576,1.2656e+11,1.1839e+11,2.2021e+15,6.0705e+09,0.0010525,0.072261,1.3282e-17,0.14347,0.14347,1.2662e+11,1.1844e+11,2.2031e+15,5.917e+08,0.00010268,0.0070466,1.2631e-19,0.013991,0.013991
1.1676e+11,1.0922e+11,2.0277e+15,9.227e+11,0.13597,10.133,2.6147e-13,20.13,20.13,1.2557e+11,1.1746e+11,2.1789e+15,9.8139e+10,0.016705,1.1591,3.4181e-15,2.3015,2.3015,1.2652e+11,1.1835e+11,2.1952e+15,9.6467e+09,0.0016667,0.1148,3.3523e-17,0.22793,0.22793,1.2661e+11,1.1844e+11,2.1967e+15,9.4059e+08,0.00016275,0.011201,3.1916e-19,0.02224,0.02224
1.1311e+11,1.058e+11,1.9595e+15,1.2606e+12,0.17395,13.411,4.5826e-13,26.649,26.649,1.2513e+11,1.1705e+11,2.1651e+15,1.3879e+11,0.023395,1.6335,6.7894e-15,3.2437,3.2437,1.2648e+11,1.1831e+11,2.1881e+15,1.3695e+10,0.0023577,0.16291,6.7515e-17,0.32346,0.32346,1.2661e+11,1.1843e+11,2.1903e+15,1.3358e+09,0.00023045,0.015907,6.4367e-19,0.031583,0.031583
1.0924e+11,1.0219e+11,1.8879e+15,1.6177e+12,0.20776,16.621,7.0422e-13,33.035,33.035,1.2463e+11,1.1658e+11,2.1503e+15,1.8501e+11,0.030849,2.1687,1.1968e-14,4.3066,4.3066,1.2643e+11,1.1826e+11,2.1809e+15,1.8334e+10,0.0031449,0.21801,1.2092e-16,0.43288,0.43288,1.266e+11,1.1843e+11,2.1839e+15,1.789e+09,0.00030774,0.021304,1.1546e-18,0.0423,0.0423
1.0511e+11,9.8325e+10,1.8122e+15,1.9972e+12,0.23698,19.745,9.9432e-13,39.254,39.254,1.2405e+11,1.1604e+11,2.1342e+15,2.3826e+11,0.03925,2.78,1.9668e-14,5.5208,5.5208,1.2637e+11,1.1821e+11,2.1736e+15,2.3731e+10,0.0040553,0.28206,2.0241e-16,0.56006,0.56006,1.266e+11,1.1842e+11,2.1775e+15,2.3169e+09,0.00039735,0.027588,1.9363e-18,0.054778,0.054778
1.0068e+11,9.4179e+10,1.7318e+15,2.4034e+12,0.2611,22.759,1.3217e-12,45.257,45.257,1.2337e+11,1.154e+11,2.1164e+15,3.0066e+11,0.048848,3.4887,3.0977e-14,6.9285,6.9285,1.263e+11,1.1814e+11,2.1661e+15,3.0124e+10,0.0051273,0.35785,3.2582e-16,0.71057,0.71057,1.2659e+11,1.1842e+11,2.1711e+15,2.9428e+09,0.00050319,0.035039,3.1237e-18,0.069576,0.069576
9.5888e+10,8.9695e+10,1.6458e+15,2.8416e+12,0.27947,25.627,1.6768e-12,50.975,50.975,1.2255e+11,1.1463e+11,2.0964e+15,3.7523e+11,0.059991,4.3251,4.7617e-14,8.5902,8.5902,1.2621e+11,1.1806e+11,2.1583e+15,3.7868e+10,0.006418,0.44953,5.1418e-16,0.89265,0.89265,1.2658e+11,1.1841e+11,2.1646e+15,3.702e+09,0.00063109,0.044075,4.9428e-18,0.08752,0.08752
9.0655e+10,8.48e+10,1.5528e+15,3.3188e+12,0.29125,28.298,2.0458e-12,56.306,56.306,1.2154e+11,1.1369e+11,2.0733e+15,4.6658e+11,0.073175,5.3339,7.2433e-14,10.595,10.595,1.2611e+11,1.1796e+11,2.1502e+15,4.7509e+10,0.0080153,0.56351,8.0802e-16,1.119,1.119,1.2657e+11,1.184e+11,2.1581e+15,4.6487e+09,0.00079005,0.055343,7.7932e-18,0.1099,0.1099
