3.1211e-06,1.2443e-10,0.0010309,0.87749,3.7042e-06,1.1873e-10,0.001188,0.85207,4.9749e-06,1.0859e-10,0.0014922,0.7969
3.0176e-06,1.2507e-10,0.0010014,0.8816,3.528e-06,1.1986e-10,0.001141,0.85925,4.5462e-06,1.1132e-10,0.0013944,0.81487
2.9216e-06,1.2565e-10,0.00097368,0.88541,3.3717e-06,1.2087e-10,0.0010986,0.86562,4.2079e-06,1.1351e-10,0.001313,0.82901
2.8322e-06,1.262e-10,0.00094766,0.88895,3.2316e-06,1.2178e-10,0.0010599,0.87132,3.9316e-06,1.1532e-10,0.0012439,0.84055
2.7487e-06,1.2672e-10,0.00092314,0.89226,3.1051e-06,1.2261e-10,0.0010244,0.87646,3.6999e-06,1.1685e-10,0.001184,0.85021
2.6704e-06,1.272e-10,0.00089997,0.89536,2.9901e-06,1.2336e-10,0.00099168,0.88113,3.5017e-06,1.1817e-10,0.0011315,0.85845
2.5969e-06,1.2765e-10,0.00087804,0.89827,2.8849e-06,1.2405e-10,0.00096143,0.8854,3.3295e-06,1.1933e-10,0.0010848,0.8656
2.5277e-06,1.2807e-10,0.00085725,0.90101,2.7882e-06,1.2469e-10,0.00093331,0.88932,3.1779e-06,1.2035e-10,0.0010429,0.87189
2.4624e-06,1.2848e-10,0.0008375,0.90359,2.6989e-06,1.2527e-10,0.00090709,0.89293,3.043e-06,1.2127e-10,0.001005,0.87748
2.4007e-06,1.2886e-10,0.00081871,0.90603,2.616e-06,1.2582e-10,0.00088255,0.89628,2.9219e-06,1.2211e-10,0.00097055,0.88248
2.3422e-06,1.2922e-10,0.00080082,0.90834,2.539e-06,1.2633e-10,0.00085952,0.89939,2.8123e-06,1.2286e-10,0.00093895,0.88701
2.2868e-06,1.2956e-10,0.00078374,0.91053,2.467e-06,1.2681e-10,0.00083786,0.9023,2.7125e-06,1.2356e-10,0.00090984,0.89112
2.2341e-06,1.2988e-10,0.00076743,0.91261,2.3996e-06,1.2726e-10,0.00081742,0.90502,2.6211e-06,1.2419e-10,0.0008829,0.89489
2.1839e-06,1.3019e-10,0.00075183,0.91459,2.3363e-06,1.2768e-10,0.0007981,0.90757,2.537e-06,1.2478e-10,0.00085786,0.89835
2.1361e-06,1.3049e-10,0.00073689,0.91648,2.2767e-06,1.2808e-10,0.00077981,0.90997,2.4592e-06,1.2533e-10,0.00083451,0.90155
2.0905e-06,1.3077e-10,0.00072257,0.91828,2.2205e-06,1.2846e-10,0.00076244,0.91223,2.387e-06,1.2584e-10,0.00081266,0.90451
2.0469e-06,1.3104e-10,0.00070883,0.92,2.1673e-06,1.2882e-10,0.00074593,0.91437,2.3196e-06,1.2632e-10,0.00079215,0.90728
