0.17271,0,0,0.17271,0,0
0.17177,2.5056e-05,0.00093681,0.17173,1.2098e-06,0.0009845
0.17084,5.3106e-05,0.0018676,0.17074,2.5716e-06,0.0019687
0.16992,8.4936e-05,0.0027909,0.16976,4.127e-06,0.0029525
0.16901,0.00012167,0.0037044,0.16878,5.9354e-06,0.0039358
0.16811,0.00016499,0.0046046,0.16779,8.0871e-06,0.0049184
0.16723,0.00021757,0.0054864,0.16681,1.0727e-05,0.0059001
0.16637,0.00028404,0.0063404,0.16583,1.4111e-05,0.0068802
0.16556,0.00037339,0.0071486,0.16485,1.8742e-05,0.0078579
0.16484,0.00050681,0.0078687,0.16388,2.5843e-05,0.0088306
0.16436,0.00075647,0.0083563,0.16292,3.9771e-05,0.0097897
0.16512,0.0016308,0.0075946,0.16205,9.658e-05,0.010663
0.16675,0.0029432,0.0059568,0.16131,0.0002203,0.011402
0.16759,0.0038563,0.0051174,0.16062,0.00036788,0.012094
0.16815,0.0046269,0.0045631,0.16014,0.00062303,0.012571
0.16856,0.0053264,0.004151,0.16128,0.0016845,0.011435
0.16889,0.0059829,0.0038249,0.16344,0.0032596,0.0092716
0.16915,0.0066104,0.0035569,0.16453,0.0042979,0.0081819
0.16938,0.0072169,0.0033308,0.16528,0.0051658,0.0074331
0.16958,0.0078077,0.0031362,0.16585,0.0059463,0.0068589
0.16975,0.0083861,0.0029663,0.16632,0.0066724,0.0063937
0.1699,0.0089546,0.0028162,0.16671,0.0073609,0.0060036
0.17003,0.009515,0.0026822,0.16704,0.0080216,0.005669
0.17015,0.010069,0.0025618,0.16733,0.0086611,0.0053771
0.17026,0.010617,0.0024527,0.16759,0.0092836,0.0051189
0.17036,0.01116,0.0023533,0.16782,0.0098924,0.0048883
