2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0
2.4246e-05,8.4241e-12,4.8447e-09,0.065787,2.573e-05,1.0188e-12,6.2215e-10,0.0079609,2.5911e-05,1.1539e-13,7.0967e-11,0.00090173,2.5932e-05,1.2968e-14,7.9824e-12,0.00010135,2.5934e-05,1.4562e-15,8.9645e-13,1.1381e-05
2.2201e-05,1.7901e-11,9.472e-09,0.14047,2.5309e-05,2.3727e-12,1.4334e-09,0.018646,2.5731e-05,2.7192e-13,1.6703e-10,0.0021373,2.5779e-05,3.0602e-14,1.8834e-11,0.00024054,2.5784e-05,3.4369e-15,2.1157e-12,2.7015e-05
1.9862e-05,2.8875e-11,1.373e-08,0.22758,2.4772e-05,4.3106e-12,2.5632e-09,0.034067,2.5535e-05,5.0261e-13,3.0818e-10,0.0039734,2.5625e-05,5.6679e-14,3.4875e-11,0.00044809,2.5635e-05,6.367e-15,3.9193e-12,5.0337e-05
1.7093e-05,4.2067e-11,1.7278e-08,0.3328,2.4001e-05,7.415e-12,4.2957e-09,0.058927,2.5309e-05,8.8957e-13,5.4374e-10,0.0070735,2.5467e-05,1.0066e-13,6.1914e-11,0.00080042,2.5485e-05,1.1312e-14,6.9627e-12,8.9951e-05
1.3754e-05,5.8275e-11,1.93e-08,0.46201,2.2688e-05,1.3228e-11,7.2823e-09,0.10568,2.5001e-05,1.6781e-12,1.0192e-09,0.013421,2.53e-05,1.9121e-13,1.1753e-10,0.0015295,2.5334e-05,2.1505e-14,1.3236e-11,0.00017202
1.0293e-05,7.5431e-11,1.8684e-08,0.59763,2.0245e-05,2.4714e-11,1.2196e-08,0.19835,2.4479e-05,3.5393e-12,2.1168e-09,0.02847,2.5107e-05,4.1009e-13,2.5162e-10,0.0032996,2.518e-05,4.6211e-14,2.8437e-11,0.00037182
7.8618e-06,8.7709e-11,1.6557e-08,0.69336,1.6546e-05,4.2579e-11,1.7227e-08,0.34278,2.3509e-05,7.6365e-12,4.4106e-09,0.061769,2.4856e-05,9.1918e-13,5.6163e-10,0.0074394,2.5019e-05,1.0405e-13,6.3997e-11,0.00084216
6.3941e-06,9.5212e-11,1.4587e-08,0.75112,1.1944e-05,6.5299e-11,1.9069e-08,0.52562,2.1427e-05,1.7297e-11,9.1508e-09,0.1406,2.4431e-05,2.293e-12,1.3852e-09,0.018667,2.4838e-05,2.6279e-13,1.6143e-10,0.0021397
5.4381e-06,1.0014e-10,1.3027e-08,0.78867,8.2626e-06,8.396e-11,1.6893e-08,0.67315,1.7368e-05,3.6928e-11,1.5887e-08,0.30115,2.3504e-05,6.1731e-12,3.6081e-09,0.05054,2.4595e-05,7.3342e-13,4.4878e-10,0.0060076
4.7603e-06,1.0364e-10,1.1788e-08,0.81525,6.349e-06,9.3889e-11,1.446e-08,0.74982,1.1929e-05,6.3857e-11,1.8854e-08,0.52037,2.1252e-05,1.6684e-11,8.8608e-09,0.13727,2.4151e-05,2.2023e-12,1.3311e-09,0.018146
