0.1722,0.0015933,0.00051444,0.17158,0.0012826,0.0011357,0.17069,0.00084158,0.0020178,0.16915,6.8531e-05,0.0035639,0.16902,3.3941e-06,0.0036942,0.16901,1.6367e-07,0.0037006,0.16901,7.8823e-09,0.0037009,0.16901,3.7958e-10,0.003701,0.16901,1.8279e-11,0.003701,0.16901,8.8027e-13,0.003701
0.17224,0.0017361,0.00047559,0.17168,0.001459,0.0010296,0.17098,0.0011082,0.0017313,0.16907,0.00015285,0.003642,0.16878,7.8529e-06,0.003932,0.16876,3.7936e-07,0.0039469,0.16876,1.8272e-08,0.0039477,0.16876,8.799e-10,0.0039477,0.16876,4.2373e-11,0.0039477,0.16876,2.0405e-12,0.0039477
0.17227,0.0018758,0.00044279,0.17177,0.0016244,0.00094563,0.17116,0.0013239,0.0015467,0.17034,0.00091326,0.0023679,0.16868,8.1476e-05,0.0040315,0.16853,4.0578e-06,0.0041863,0.16852,1.9573e-07,0.004194,0.16852,9.4264e-09,0.0041944,0.16852,4.5394e-10,0.0041944,0.16852,2.186e-11,0.0041944
0.1723,0.0020133,0.00041463,0.17183,0.0017823,0.00087661,0.1713,0.0015159,0.0014093,0.17064,0.0011868,0.0020676,0.16959,0.00065945,0.0031223,0.16836,4.5564e-05,0.00435,0.16827,2.2354e-06,0.0044367,0.16827,1.0775e-07,0.0044409,0.16827,5.1889e-09,0.0044411,0.16827,2.4988e-10,0.0044412
0.17232,0.0021489,0.00039012,0.17189,0.0019347,0.00081843,0.17141,0.0016938,0.0013003,0.17085,0.0014111,0.0018657,0.17012,0.0010461,0.0025957,0.16826,0.00011946,0.004449,0.16804,6.0492e-06,0.0046758,0.16802,2.9202e-07,0.0046873,0.16802,1.4064e-08,0.0046879,0.16802,6.7729e-10,0.0046879
0.17234,0.002283,0.00036854,0.17194,0.0020831,0.00076846,0.1715,0.0018622,0.0012103,0.171,0.0016111,0.0017123,0.1704,0.0013106,0.0023134,0.16957,0.00089796,0.0031387,0.16793,7.902e-05,0.0047766,0.16778,3.9322e-06,0.0049268,0.16778,1.8966e-07,0.0049342,0.16778,9.1341e-09,0.0049346
0.17236,0.002416,0.00034938,0.17199,0.0022282,0.00072491,0.17158,0.0020236,0.0011341,0.17112,0.0017962,0.0015889,0.1706,0.0015351,0.0021112,0.16996,0.0012154,0.0027506,0.16899,0.00073196,0.0037174,0.16764,5.3929e-05,0.0050735,0.16754,2.6554e-06,0.005176,0.16753,1.2801e-07,0.0051811
0.17238,0.0025479,0.00033223,0.17203,0.0023708,0.00068651,0.17164,0.0021799,0.0010683,0.17123,0.0019711,0.001486,0.17076,0.0017376,0.001953,0.17022,0.0014666,0.002495,0.16954,0.0011265,0.003175,0.16767,0.00019302,0.005042,0.1673,1.011e-05,0.0054079,0.16728,4.8888e-07,0.0054271
0.17239,0.002679,0.00031676,0.17206,0.0025112,0.00065234,0.1717,0.002332,0.0010108,0.17131,0.0021383,0.0013981,0.17089,0.0019258,0.0018232,0.17041,0.0016868,0.0023012,0.16985,0.0014066,0.0028616,0.16913,0.0010457,0.0035835,0.16728,0.00012172,0.0054314,0.16705,6.1723e-06,0.0056625
0.17241,0.0028094,0.00030274,0.17209,0.0026499,0.00062168,0.17175,0.0024808,0.00095994,0.17139,0.0022998,0.0013219,0.171,0.0021039,0.0017136,0.17057,0.0018883,0.002145,0.17008,0.0016446,0.0026323,0.1695,0.0013563,0.003209,0.16874,0.00097484,0.0039719,0.16699,9.7573e-05,0.0057264
