0.17271,0,0,0.17271,0,0,0.17271,0,0,0.17271,0,0
0.17182,5.0074e-05,0.00088678,0.17173,4.6451e-06,0.00097763,0.17173,4.272e-07,0.00098607,0.17172,3.9258e-08,0.00098684
0.17096,0.00011248,0.0017489,0.17076,1.0561e-05,0.0019527,0.17074,9.7237e-07,0.0019719,0.17074,8.9365e-08,0.0019737
0.17014,0.00019403,0.0025727,0.16979,1.8518e-05,0.0029237,0.16975,1.7076e-06,0.0029574,0.16975,1.5696e-07,0.0029605
0.16938,0.00030837,0.0033309,0.16882,3.0135e-05,0.0038874,0.16877,2.7851e-06,0.0039421,0.16876,2.5606e-07,0.0039472
0.16875,0.00048718,0.0039603,0.16788,4.9491e-05,0.0048356,0.16779,4.5915e-06,0.0049254,0.16778,4.2228e-07,0.0049338
0.16842,0.00081521,0.0042911,0.16697,8.9473e-05,0.0057426,0.16681,8.3671e-06,0.0059048,0.16679,7.7008e-07,0.00592
0.16866,0.0014308,0.0040468,0.16618,0.00018664,0.0065352,0.16584,1.7802e-05,0.0068729,0.16581,1.6415e-06,0.0069052
0.16919,0.002188,0.0035193,0.16558,0.00038304,0.0071293,0.16489,3.8098e-05,0.0078192,0.16482,3.5271e-06,0.0078883
0.16963,0.0028999,0.0030825,0.16542,0.00079327,0.0072958,0.164,8.6902e-05,0.0087085,0.16385,8.125e-06,0.0088661
0.16996,0.0035593,0.0027506,0.16615,0.0016533,0.0065627,0.16331,0.00023457,0.0094001,0.16289,2.2616e-05,0.009824
0.17022,0.0041824,0.0024914,0.16702,0.0025843,0.0056875,0.16301,0.00057745,0.0097012,0.16198,6.0147e-05,0.010736
0.17043,0.0047804,0.0022823,0.16766,0.0033964,0.0050502,0.16378,0.0014543,0.0089344,0.16126,0.00019388,0.011455
0.1706,0.0053604,0.0021092,0.16814,0.0041296,0.0045708,0.16498,0.0025503,0.0077294,0.16102,0.00056891,0.011692
0.17075,0.0059269,0.0019631,0.16852,0.0048125,0.0041919,0.16583,0.0034699,0.0068771,0.16211,0.0016085,0.0106
0.17087,0.0064832,0.0018375,0.16883,0.0054611,0.0038816,0.16646,0.0042786,0.0062467,0.16349,0.0027923,0.0092192
0.17098,0.0070312,0.0017284,0.16909,0.006085,0.0036208,0.16696,0.00502,0.0057508,0.16444,0.0037596,0.0082715
0.17108,0.0075727,0.0016323,0.16931,0.0066901,0.0033974,0.16737,0.0057165,0.0053447,0.16515,0.0046065,0.0075648
0.17116,0.0081088,0.0015471,0.16951,0.0072807,0.0032032,0.16771,0.0063809,0.0050029,0.16571,0.0053805,0.0070036
0.17124,0.0086404,0.0014708,0.16968,0.0078596,0.0030323,0.168,0.0070211,0.0047093,0.16617,0.0061057,0.0065402
0.17131,0.0091682,0.0014021,0.16983,0.008429,0.0028804,0.16826,0.0076426,0.0044533,0.16656,0.0067956,0.0061473
0.17137,0.0096928,0.0013398,0.16997,0.0089905,0.0027443,0.16848,0.0082491,0.0042272,0.1669,0.0074588,0.0058077
0.17143,0.010215,0.0012831,0.17009,0.0095454,0.0026215,0.16869,0.0088433,0.0040257,0.1672,0.0081012,0.0055098
0.17148,0.010734,0.0012311,0.1702,0.010095,0.00251,0.16887,0.0094273,0.0038446,0.16747,0.0087269,0.0052455
0.17153,0.011251,0.0011834,0.1703,0.010639,0.0024082,0.16903,0.010003,0.0036806,0.1677,0.0093387,0.0050088
0.17157,0.011767,0.0011394,0.1704,0.011179,0.0023148,0.16918,0.010571,0.0035313,0.16792,0.009939,0.0047951
