2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0
2.4563e-05,6.8426e-12,3.9871e-09,0.053444,2.58e-05,6.6709e-13,4.0852e-10,0.005213,2.5922e-05,6.1643e-14,3.7929e-11,0.00048174,2.5933e-05,5.6672e-15,3.4885e-12,4.4289e-05
2.29e-05,1.4402e-11,7.8634e-09,0.11305,2.5483e-05,1.5066e-12,9.1646e-10,0.011841,2.5757e-05,1.4022e-13,8.6225e-11,0.0011022,2.5783e-05,1.29e-14,7.9404e-12,0.0001014
2.1045e-05,2.2943e-11,1.1567e-08,0.18097,2.5111e-05,2.6181e-12,1.5783e-09,0.020694,2.5587e-05,2.4604e-13,1.5117e-10,0.0019451,2.5632e-05,2.2656e-14,1.3944e-11,0.00017911
1.891e-05,3.291e-11,1.4977e-08,0.26075,2.4644e-05,4.205e-12,2.5021e-09,0.033427,2.5407e-05,4.0079e-13,2.4594e-10,0.0031871,2.548e-05,3.6955e-14,2.2743e-11,0.00029387
1.6344e-05,4.5104e-11,1.7806e-08,0.3587,2.3983e-05,6.7588e-12,3.9359e-09,0.054031,2.5206e-05,6.5936e-13,4.0376e-10,0.0052739,2.5326e-05,6.0933e-14,3.7492e-11,0.00048739
1.3126e-05,6.0733e-11,1.9294e-08,0.48394,2.2844e-05,1.1702e-11,6.5261e-09,0.094056,2.4949e-05,1.1963e-12,7.2934e-10,0.0096246,2.5167e-05,1.1107e-13,6.8315e-11,0.00089372
9.6356e-06,7.8137e-11,1.8196e-08,0.62172,2.0611e-05,2.2129e-11,1.1188e-08,0.17871,2.4535e-05,2.5177e-12,1.5183e-09,0.020374,2.4993e-05,2.3652e-13,1.4532e-10,0.0019144
7.289e-06,9.0108e-11,1.5824e-08,0.71474,1.7268e-05,3.8184e-11,1.6231e-08,0.30948,2.3835e-05,5.2644e-12,3.1019e-09,0.042846,2.4789e-05,5.0709e-13,3.1088e-10,0.0041289
5.9409e-06,9.7085e-11,1.386e-08,0.7681,1.295e-05,5.9364e-11,1.8944e-08,0.48163,2.2462e-05,1.1378e-11,6.352e-09,0.093103,2.4509e-05,1.1618e-12,7.084e-10,0.0095162
5.0754e-06,1.016e-10,1.2367e-08,0.80227,8.5701e-06,8.1519e-11,1.714e-08,0.65845,1.9294e-05,2.6491e-11,1.2758e-08,0.2177,2.3955e-05,3.1794e-12,1.906e-09,0.026195
4.4627e-06,1.0482e-10,1.1202e-08,0.8264,6.3097e-06,9.3324e-11,1.4371e-08,0.74986,1.4599e-05,4.9436e-11,1.8047e-08,0.40699,2.282e-05,8.1003e-12,4.6519e-09,0.067114
4.0002e-06,1.0726e-10,1.0262e-08,0.84458,5.1415e-06,9.9563e-11,1.2445e-08,0.79694,9.092e-06,7.7177e-11,1.7464e-08,0.63241,1.9752e-05,2.2701e-11,1.1335e-08,0.18893
3.6353e-06,1.0919e-10,9.4836e-09,0.85891,4.4097e-06,1.0353e-10,1.1068e-08,0.82634,6.237e-06,9.2162e-11,1.4202e-08,0.74968,1.4436e-05,4.8756e-11,1.7817e-08,0.40636
3.3381e-06,1.1076e-10,8.8263e-09,0.87055,3.8957e-06,1.0635e-10,1.0021e-08,0.84693,4.9556e-06,9.9119e-11,1.2073e-08,0.80213,8.3776e-06,7.9461e-11,1.6738e-08,0.65781
3.0902e-06,1.1208e-10,8.262e-09,0.88025,3.5086e-06,1.0849e-10,9.1903e-09,0.86239,4.2042e-06,1.033e-10,1.0634e-08,0.83277,5.7301e-06,9.3552e-11,1.3365e-08,0.76793
2.8797e-06,1.132e-10,7.7711e-09,0.88848,3.2032e-06,1.1019e-10,8.5088e-09,0.87456,3.6943e-06,1.0618e-10,9.5769e-09,0.85349,4.5738e-06,9.9964e-11,1.1334e-08,0.81582
2.6981e-06,1.1417e-10,7.3392e-09,0.89557,2.9542e-06,1.1159e-10,7.9363e-09,0.88447,3.3182e-06,1.0834e-10,8.7554e-09,0.86872,3.8945e-06,1.0384e-10,9.9818e-09,0.84385
2.5397e-06,1.1501e-10,6.9559e-09,0.90175,2.7463e-06,1.1276e-10,7.4464e-09,0.89272,3.0255e-06,1.1004e-10,8.0917e-09,0.88055,3.4325e-06,1.0654e-10,8.9956e-09,0.86284
2.3999e-06,1.1576e-10,6.6129e-09,0.9072,2.5691e-06,1.1376e-10,7.021e-09,0.89974,2.7891e-06,1.1142e-10,7.5402e-09,0.89007,3.0911e-06,1.0857e-10,8.2322e-09,0.87683
