2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0
2.3366e-05,1.2817e-11,7.1006e-09,0.10005,2.5447e-05,2.4274e-12,1.466e-09,0.018967,2.5851e-05,4.1736e-13,2.5609e-10,0.0032616,2.592e-05,7.0502e-14,4.3377e-11,0.00055097,2.5932e-05,1.1874e-14,7.3086e-12,9.2792e-05,2.5934e-05,1.9986e-15,1.2303e-12,1.5619e-05,2.5934e-05,3.364e-16,2.0709e-13,2.629e-06,2.5934e-05,5.662e-17,3.4855e-14,4.4248e-07
2.0248e-05,2.7685e-11,1.3345e-08,0.21699,2.4553e-05,6.1454e-12,3.6004e-09,0.048279,2.5566e-05,1.093e-12,6.6707e-10,0.0085905,2.5748e-05,1.8574e-13,1.1417e-10,0.0014599,2.5779e-05,3.1313e-14,1.9271e-11,0.00024612,2.5784e-05,5.2717e-15,3.2451e-12,4.1437e-05,2.5785e-05,8.8732e-16,5.4623e-13,6.9745e-06,2.5785e-05,1.4935e-16,9.1937e-14,1.1739e-06
1.6642e-05,4.5099e-11,1.792e-08,0.35453,2.3119e-05,1.2564e-11,6.9668e-09,0.099214,2.5159e-05,2.377e-12,1.4358e-09,0.018789,2.5554e-05,4.0861e-13,2.5072e-10,0.0032303,2.5622e-05,6.9021e-14,4.2466e-11,0.00054567,2.5634e-05,1.1624e-14,7.155e-12,9.1898e-05,2.5636e-05,1.9566e-15,1.2045e-12,1.5469e-05,2.5636e-05,3.2933e-16,2.0273e-13,2.6036e-06
1.2832e-05,6.3762e-11,1.9556e-08,0.50177,2.0584e-05,2.4507e-11,1.2153e-08,0.19439,2.4432e-05,5.2645e-12,3.1052e-09,0.041845,2.5301e-05,9.2932e-13,5.6786e-10,0.0073895,2.5455e-05,1.5771e-13,9.6964e-11,0.0012541,2.5482e-05,2.6581e-14,1.636e-11,0.00021138,2.5486e-05,4.4749e-15,2.7547e-12,3.5585e-05,2.5487e-05,7.5321e-16,4.6367e-13,5.9896e-06
9.7707e-06,7.8959e-11,1.8427e-08,0.62091,1.6599e-05,4.381e-11,1.7571e-08,0.3485,2.292e-05,1.2069e-11,6.7132e-09,0.096433,2.4882e-05,2.2755e-12,1.3753e-09,0.018198,2.526e-05,3.909e-13,2.3988e-10,0.0031266,2.5325e-05,6.6021e-14,4.0621e-11,0.0005281,2.5336e-05,1.1119e-14,6.844e-12,8.8937e-05,2.5338e-05,1.8716e-15,1.1521e-12,1.497e-05
7.7817e-06,8.8932e-11,1.6508e-08,0.69845,1.2054e-05,6.6252e-11,1.9293e-08,0.52695,1.9741e-05,2.7242e-11,1.3105e-08,0.21856,2.3974e-05,6.0609e-12,3.5492e-09,0.048742,2.4973e-05,1.0786e-12,6.5821e-10,0.0086777,2.5152e-05,1.833e-13,1.1268e-10,0.0014749,2.5183e-05,3.0903e-14,1.9019e-11,0.00024865,2.5188e-05,5.2027e-15,3.2026e-12,4.1862e-05
6.4867e-06,9.5466e-11,1.4755e-08,0.74892,8.8041e-06,8.258e-11,1.7523e-08,0.6553,1.4654e-05,5.2173e-11,1.8655e-08,0.41915,2.1731e-05,1.6524e-11,8.814e-09,0.13354,2.4385e-05,3.2668e-12,1.9578e-09,0.026434,2.4926e-05,5.6648e-13,3.4712e-10,0.0045849,2.5021e-05,9.5833e-14,5.8948e-11,0.00077568,2.5037e-05,1.6144e-14,9.9366e-12,0.00013067
5.5854e-06,1.0003e-10,1.3301e-08,0.78401,6.9376e-06,9.2089e-11,1.5362e-08,0.72902,9.9418e-06,7.5748e-11,1.8328e-08,0.60695,1.6911e-05,3.9985e-11,1.664e-08,0.32397,2.2779e-05,1.054e-11,5.9322e-09,0.085742,2.4498e-05,1.9611e-12,1.188e-09,0.015966,2.4824e-05,3.3604e-13,2.063e-10,0.0027361,2.488e-05,5.6731e-14,3.4907e-11,0.00046194
4.9199e-06,1.0342e-10,1.2103e-08,0.8099,5.7835e-06,9.8028e-11,1.3606e-08,0.77454,7.3471e-06,8.8999e-11,1.5857e-08,0.71057,1.1054e-05,6.9152e-11,1.8771e-08,0.55906,1.8503e-05,3.1214e-11,1.4319e-08,0.25479,2.3271e-05,7.3376e-12,4.2457e-09,0.060067,2.4476e-05,1.3234e-12,8.0585e-10,0.01084,2.4697e-05,2.2546e-13,1.3854e-10,0.0018469
