0.17271,0,0
0.17223,6.5665e-06,0.00048033
0.17175,1.3307e-05,0.00096031
0.17127,2.0232e-05,0.0014399
0.17079,2.7353e-05,0.0019191
0.17031,3.4682e-05,0.0023979
0.16984,4.2231e-05,0.0028763
0.16936,5.0016e-05,0.0033542
0.16888,5.8052e-05,0.0038316
0.1684,6.6358e-05,0.0043084
0.16793,7.4952e-05,0.0047847
0.16745,8.3855e-05,0.0052604
0.16698,9.3092e-05,0.0057354
0.1665,0.00010269,0.0062096
0.16603,0.00011268,0.0066831
0.16556,0.00012309,0.0071557
0.16508,0.00013396,0.0076275
0.16461,0.00014533,0.0080982
0.16414,0.00015726,0.0085678
0.16368,0.0001698,0.0090362
0.16321,0.00018302,0.0095032
0.16274,0.00019698,0.0099687
0.16228,0.00021178,0.010433
0.16182,0.00022753,0.010895
0.16136,0.00024435,0.011354
0.1609,0.0002624,0.011812
0.16045,0.00028185,0.012266
0.15999,0.00030296,0.012718
0.15955,0.000326,0.013165
0.1591,0.00035137,0.013608
0.15867,0.00037958,0.014045
0.15824,0.00041131,0.014475
0.15782,0.00044756,0.014896
0.15741,0.00048981,0.015305
0.15701,0.00054042,0.015697
0.15665,0.00060354,0.016064
0.15632,0.00068766,0.016389
0.15609,0.00081591,0.016626
0.15631,0.0011743,0.016403
0.16329,0.0049117,0.0094216
0.16391,0.0054664,0.0088056
0.16438,0.0059525,0.008327
0.16478,0.0063967,0.007932
0.16512,0.0068121,0.0075946
0.16541,0.0072064,0.0072996
0.16567,0.0075842,0.0070373
0.16591,0.007949,0.0068013
0.16612,0.008303,0.0065867
0.16632,0.008648,0.0063902
0.1665,0.0089854,0.0062089
0.16667,0.0093161,0.0060408
