2.5325e+11,2.3689e+11,4.4318e+15,0,0,0,0,0,0,2.5325e+11,2.3689e+11,4.4318e+15,0,0,0,0,0,0
2.4629e+11,2.3038e+11,4.2866e+15,5.849e+11,4.3624e-07,3.3873,2.4088e-24,6.7745,6.7745,2.529e+11,2.3657e+11,4.4006e+15,2.8998e+10,2.2799e-08,0.17245,6.2434e-27,0.34489,0.34489
2.3886e+11,2.2344e+11,4.1349e+15,1.2023e+12,8.3889e-07,6.7529,9.5739e-24,13.506,13.506,2.5251e+11,2.362e+11,4.3686e+15,6.1548e+10,4.7963e-08,0.36544,2.8038e-26,0.73088,0.73088
2.3089e+11,2.1598e+11,3.9752e+15,1.8587e+12,1.2052e-06,10.091,2.1379e-23,20.182,20.182,2.5206e+11,2.3578e+11,4.3356e+15,9.8596e+10,7.612e-08,0.58437,7.1695e-26,1.1687,1.1687
2.2225e+11,2.0789e+11,3.8059e+15,2.563e+12,1.5315e-06,13.394,3.7664e-23,26.788,26.788,2.5153e+11,2.3529e+11,4.3015e+15,1.415e+11,1.0816e-07,0.83693,1.4706e-25,1.6739,1.6739
2.1279e+11,1.9904e+11,3.6245e+15,3.3275e+12,1.813e-06,16.649,5.8196e-23,33.298,33.298,2.509e+11,2.347e+11,4.2658e+15,1.9232e+11,1.4542e-07,1.1346,2.7029e-25,2.2693,2.2693
2.0226e+11,1.892e+11,3.4271e+15,4.171e+12,2.0425e-06,19.837,8.2619e-23,39.675,39.675,2.5013e+11,2.3398e+11,4.2278e+15,2.5432e+11,1.8999e-07,1.4958,4.6975e-25,2.9916,2.9916
1.903e+11,1.7801e+11,3.208e+15,5.1232e+12,2.2095e-06,22.925,1.1034e-22,45.85,45.85,2.4914e+11,2.3305e+11,4.1863e+15,3.332e+11,2.4551e-07,1.952,7.9997e-25,3.904,3.904
1.7624e+11,1.6486e+11,2.9566e+15,6.2371e+12,2.2959e-06,25.848,1.4026e-22,51.695,51.695,2.4779e+11,2.3179e+11,4.139e+15,4.4016e+11,3.1891e-07,2.5646,1.3809e-24,5.1292,5.1292
1.5871e+11,1.4846e+11,2.6509e+15,7.6237e+12,2.2659e-06,28.451,1.6995e-22,56.902,56.902,2.4574e+11,2.2987e+11,4.0806e+15,6.0192e+11,4.264e-07,3.4781,2.5397e-24,6.9562,6.9562
1.3387e+11,1.2522e+11,2.2294e+15,9.5984e+12,2.0237e-06,30.214,1.9166e-22,60.428,60.428,2.4181e+11,2.2619e+11,3.9918e+15,9.1151e+11,6.2157e-07,5.1828,5.6395e-24,10.366,10.366
8.6922e+10,8.1308e+10,1.4542e+15,1.3435e+13,1.1998e-06,27.46,1.5831e-22,54.92,54.92,2.2703e+11,2.1237e+11,3.7278e+15,2.0782e+12,1.2425e-06,11.095,2.5842e-23,22.189,22.189
5.7302e+10,5.3602e+10,9.6821e+14,1.5985e+13,6.2651e-07,21.538,9.7393e-23,43.076,43.076,2.0026e+11,1.8733e+11,3.2732e+15,4.1815e+12,1.9363e-06,19.69,8.1398e-23,39.381,39.381
4.6399e+10,4.3403e+10,7.8793e+14,1.6959e+13,4.3801e-07,18.503,7.1879e-23,37.006,37.006,1.7541e+11,1.6408e+11,2.8547e+15,6.1161e+12,2.1636e-06,25.227,1.3361e-22,50.453,50.453
4e+10,3.7417e+10,6.8151e+14,1.7542e+13,3.3782e-07,16.499,5.7152e-23,32.998,32.998,1.444e+11,1.3508e+11,2.3431e+15,8.5272e+12,2.0382e-06,28.954,1.7601e-22,57.908,57.908
3.5558e+10,3.3261e+10,6.073e+14,1.7951e+13,2.7385e-07,15.009,4.7294e-23,30.018,30.018,8.3757e+10,7.8348e+10,1.3687e+15,1.3372e+13,1.083e-06,26.337,1.4562e-22,52.673,52.673
3.2206e+10,3.0126e+10,5.5112e+14,1.8263e+13,2.2899e-07,13.83,4.0157e-23,27.66,27.66,5.2066e+10,4.8703e+10,8.6224e+14,1.6086e+13,5.1016e-07,19.694,8.1425e-23,39.387,39.387
2.9546e+10,2.7638e+10,5.0641e+14,1.8512e+13,1.9567e-07,12.861,3.4726e-23,25.722,25.722,4.1783e+10,3.9084e+10,6.9656e+14,1.7021e+13,3.4996e-07,16.723,5.871e-23,33.445,33.445
2.7364e+10,2.5596e+10,4.6963e+14,1.8717e+13,1.6992e-07,12.043,3.0451e-23,24.086,24.086,3.5894e+10,3.3576e+10,6.0111e+14,1.7574e+13,2.6788e-07,14.833,4.6192e-23,29.666,29.666
2.5528e+10,2.3879e+10,4.3863e+14,1.8891e+13,1.4943e-07,11.34,2.6997e-23,22.679,22.679,3.187e+10,2.9812e+10,5.3558e+14,1.7962e+13,2.1659e-07,13.46,3.8039e-23,26.921,26.921
2.3955e+10,2.2408e+10,4.1202e+14,1.9041e+13,1.3276e-07,10.725,2.4151e-23,21.451,21.451,2.8868e+10,2.7003e+10,4.8649e+14,1.8257e+13,1.8113e-07,12.392,3.2242e-23,24.785,24.785
2.2588e+10,2.1129e+10,3.8885e+14,1.9171e+13,1.1896e-07,10.183,2.1768e-23,20.365,20.365,2.6505e+10,2.4793e+10,4.4772e+14,1.8492e+13,1.5503e-07,11.525,2.7887e-23,23.05,23.05
2.1385e+10,2.0004e+10,3.6843e+14,1.9286e+13,1.0735e-07,9.6982,1.9747e-23,19.396,19.396,2.4578e+10,2.2991e+10,4.16e+14,1.8687e+13,1.3497e-07,10.799,2.4486e-23,21.599,21.599
