1.013e+11,9.4757e+10,1.7727e+15,0,0,0,0,0,0,1.013e+11,9.4757e+10,1.7727e+15,0,0,0,0,0,0,1.013e+11,9.4757e+10,1.7727e+15,0,0,0,0,0,0,1.013e+11,9.4757e+10,1.7727e+15,0,0,0,0,0,0,1.013e+11,9.4757e+10,1.7727e+15,0,0,0,0,0,0
9.8232e+10,9.1888e+10,1.7148e+15,2.8823e+11,0.059001,4.161,4.4058e-14,8.2629,8.2629,1.0092e+11,9.4404e+10,1.7612e+15,3.5434e+10,0.0076521,0.52554,7.0256e-16,1.0434,1.0434,1.0125e+11,9.4714e+10,1.7669e+15,4.2294e+09,0.00091933,0.062936,1.0075e-17,0.12495,0.12495,1.0129e+11,9.4752e+10,1.7676e+15,5.0302e+08,0.00010942,0.0074881,1.4262e-19,0.014867,0.014867,1.013e+11,9.4756e+10,1.7677e+15,5.9801e+07,1.301e-05,0.00089026,2.0159e-21,0.0017675,0.0017675
9.4996e+10,8.886e+10,1.6542e+15,5.9095e+11,0.11288,8.2502,1.7329e-13,16.388,16.388,1.0049e+11,9.4004e+10,1.7488e+15,7.5368e+10,0.016094,1.1131,3.152e-15,2.2101,2.2101,1.012e+11,9.4666e+10,1.7609e+15,9.0377e+09,0.0019569,0.13442,4.5961e-17,0.26688,0.26688,1.0129e+11,9.4746e+10,1.7624e+15,1.0755e+09,0.00023326,0.016009,6.5193e-19,0.031785,0.031785,1.013e+11,9.4755e+10,1.7626e+15,1.2787e+08,2.7738e-05,0.0019035,9.2169e-21,0.0037793,0.0037793
9.1566e+10,8.5652e+10,1.5906e+15,9.104e+11,0.16122,12.251,3.8232e-13,24.341,24.341,1e+11,9.3546e+10,1.7353e+15,1.209e+11,0.025496,1.7769,8.0333e-15,3.5283,3.5283,1.0114e+11,9.4611e+10,1.7549e+15,1.4576e+10,0.0031434,0.21666,1.1941e-16,0.43017,0.43017,1.0128e+11,9.4739e+10,1.7572e+15,1.7356e+09,0.00037531,0.025834,1.6977e-18,0.051292,0.051292,1.013e+11,9.4754e+10,1.7575e+15,2.0637e+08,4.4639e-05,0.0030721,2.4008e-20,0.0060996,0.0060996
8.7912e+10,8.2234e+10,1.5236e+15,1.2493e+12,0.20351,16.141,6.6399e-13,32.078,32.078,9.9436e+10,9.3014e+10,1.7206e+15,1.7355e+11,0.036083,2.5362,1.6367e-14,5.0362,5.0362,1.0107e+11,9.4545e+10,1.7486e+15,2.1053e+10,0.0045212,0.31273,2.4879e-16,0.62093,0.62093,1.0127e+11,9.4731e+10,1.752e+15,2.5089e+09,0.00054088,0.03734,3.5469e-18,0.074139,0.074139,1.013e+11,9.4754e+10,1.7524e+15,2.9833e+08,6.4346e-05,0.0044411,5.0175e-20,0.0088179,0.0088179
8.3998e+10,7.8573e+10,1.4524e+15,1.611e+12,0.23911,19.888,1.0087e-12,39.536,39.536,9.8765e+10,9.2386e+10,1.7042e+15,2.3543e+11,0.048158,3.4172,2.9718e-14,6.7862,6.7862,1.0099e+11,9.4467e+10,1.7421e+15,2.8772e+10,0.006151,0.42703,4.6393e-16,0.8479,0.8479,1.0126e+11,9.4722e+10,1.7468e+15,3.4318e+09,0.00073758,0.051071,6.6354e-18,0.1014,0.1014,1.0129e+11,9.4752e+10,1.7473e+15,4.0812e+08,8.7772e-05,0.0060755,9.3903e-20,0.012063,0.012063
7.9778e+10,7.4626e+10,1.3765e+15,1.9999e+12,0.26725,23.447,1.403e-12,46.628,46.628,9.7957e+10,9.163e+10,1.6855e+15,3.0961e+11,0.062131,4.4572,5.0567e-14,8.8523,8.8523,1.0089e+11,9.4371e+10,1.7353e+15,3.818e+10,0.0081223,0.56608,8.153e-16,1.124,1.124,1.0125e+11,9.4711e+10,1.7415e+15,4.5589e+09,0.00097678,0.067837,1.1708e-17,0.1347,0.1347,1.0129e+11,9.4751e+10,1.7422e+15,5.4224e+08,0.00011628,0.0080719,1.6576e-19,0.016028,0.016028
7.5197e+10,7.034e+10,1.2948e+15,2.421e+12,0.28696,26.755,1.8279e-12,53.223,53.223,9.6962e+10,9.0699e+10,1.6637e+15,4.0069e+11,0.07857,5.7098,8.2996e-14,11.341,11.341,1.0076e+11,9.425e+10,1.7281e+15,4.9967e+10,0.010572,0.73989,1.3929e-15,1.4692,1.4692,1.0123e+11,9.4696e+10,1.7362e+15,5.9747e+09,0.001276,0.08889,2.0103e-17,0.1765,0.1765,1.0129e+11,9.4749e+10,1.7371e+15,7.1075e+08,0.00015197,0.01058,2.848e-19,0.021008,0.021008
7.019e+10,6.5656e+10,1.2064e+15,2.8806e+12,0.29704,29.714,2.2562e-12,59.13,59.13,9.5701e+10,8.952e+10,1.6376e+15,5.1573e+11,0.098253,7.2534,1.3397e-13,14.409,14.409,1.0059e+11,9.4094e+10,1.7202e+15,6.5241e+10,0.013719,0.96446,2.3669e-15,1.9152,1.9152,1.0121e+11,9.4677e+10,1.7308e+15,7.8153e+09,0.0016636,0.11625,3.4384e-17,0.23084,0.23084,1.0129e+11,9.4747e+10,1.732e+15,9.299e+08,0.00019824,0.013842,4.8751e-19,0.027486,0.027486
6.4699e+10,6.0521e+10,1.1104e+15,3.3843e+12,0.2962,32.179,2.6482e-12,64.062,64.062,9.4053e+10,8.7979e+10,1.605e+15,6.6576e+11,0.12219,9.2023,2.1569e-13,18.282,18.282,1.0036e+11,9.3882e+10,1.7114e+15,8.5843e+10,0.017918,1.2662,4.0797e-15,2.5144,2.5144,1.0119e+11,9.4652e+10,1.7253e+15,1.0308e+10,0.0021868,0.15329,5.9793e-17,0.3044,0.3044,1.0129e+11,9.4744e+10,1.7269e+15,1.2269e+09,0.00026078,0.018263,8.4866e-19,0.036265,0.036265
