2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0
2.2842e-05,1.544e-11,8.3597e-09,0.1205,2.5211e-05,3.6043e-12,2.1563e-09,0.028159,2.5784e-05,7.5139e-13,4.5984e-10,0.0058718,2.5904e-05,1.5271e-13,9.3893e-11,0.0011934,2.5928e-05,3.0872e-14,1.9e-11,0.00024126,2.5933e-05,6.2344e-15,3.8377e-12,4.8722e-05,2.5934e-05,1.2588e-15,7.7488e-13,9.8372e-06,2.5934e-05,2.5414e-16,1.5644e-13,1.9861e-06,2.5934e-05,5.1308e-17,3.1585e-14,4.0098e-07,2.5934e-05,1.0359e-17,6.3768e-15,8.0954e-08
1.9124e-05,3.3332e-11,1.5163e-08,0.26104,2.3877e-05,9.5196e-12,5.4221e-09,0.074763,2.5364e-05,2.0977e-12,1.2701e-09,0.016486,2.5699e-05,4.3149e-13,2.6472e-10,0.0033915,2.5768e-05,8.7447e-14,5.3795e-11,0.00068734,2.5782e-05,1.7668e-14,1.0875e-11,0.00013888,2.5784e-05,3.5677e-15,2.1962e-12,2.8043e-05,2.5785e-05,7.2031e-16,4.4342e-13,5.6618e-06,2.5785e-05,1.4543e-16,8.9524e-14,1.1431e-06,2.5785e-05,2.9361e-17,1.8074e-14,2.3078e-07
1.5051e-05,5.3167e-11,1.9074e-08,0.41723,2.1589e-05,2.0218e-11,1.0461e-08,0.15953,2.4639e-05,4.9716e-12,2.9403e-09,0.039288,2.5426e-05,1.05e-12,6.4099e-10,0.0083001,2.5593e-05,2.1397e-13,1.315e-10,0.0016916,2.5627e-05,4.3281e-14,2.6634e-11,0.00034217,2.5634e-05,8.7414e-15,5.3808e-12,6.9109e-05,2.5636e-05,1.765e-15,1.0865e-12,1.3954e-05,2.5636e-05,3.5634e-16,2.1936e-13,2.8172e-06,2.5636e-05,7.1943e-17,4.4288e-14,5.6877e-07
1.1419e-05,7.107e-11,1.9346e-08,0.5578,1.7826e-05,3.837e-11,1.6446e-08,0.30375,2.3131e-05,1.1758e-11,6.5623e-09,0.093404,2.4955e-05,2.6516e-12,1.5979e-09,0.021081,2.5377e-05,5.4829e-13,3.3605e-10,0.0043599,2.5465e-05,1.1124e-13,6.8417e-11,0.00088458,2.5483e-05,2.2481e-14,1.3836e-11,0.00017877,2.5486e-05,4.5396e-15,2.7944e-12,3.6099e-05,2.5487e-05,9.1654e-16,5.6422e-13,7.2885e-06,2.5487e-05,1.8504e-16,1.1391e-13,1.4715e-06
8.9114e-06,8.355e-11,1.7734e-08,0.6552,1.3239e-05,6.0911e-11,1.9403e-08,0.48253,1.9961e-05,2.6884e-11,1.3001e-08,0.21444,2.3905e-05,7.1479e-12,4.1488e-09,0.05714,2.5029e-05,1.5419e-12,9.3746e-10,0.012332,2.5275e-05,3.1565e-13,1.9382e-10,0.0025248,2.5325e-05,6.3909e-14,3.9322e-11,0.0005112,2.5335e-05,1.291e-14,7.9466e-12,0.00010327,2.5338e-05,2.6068e-15,1.6047e-12,2.0851e-05,2.5338e-05,5.263e-16,3.2399e-13,4.2098e-06
7.2899e-06,9.1672e-11,1.5902e-08,0.7182,9.6934e-06,7.8599e-11,1.8304e-08,0.6217,1.491e-05,5.1623e-11,1.8675e-08,0.41237,2.1299e-05,1.9431e-11,1.0095e-08,0.15605,2.4236e-05,4.7552e-12,2.8154e-09,0.038246,2.4988e-05,1.003e-12,6.1248e-10,0.00807,2.5148e-05,2.0435e-13,1.2559e-10,0.0016443,2.5181e-05,4.1334e-14,2.5436e-11,0.00033258,2.5187e-05,8.3481e-15,5.1387e-12,6.7171e-05,2.5189e-05,1.6855e-15,1.0376e-12,1.3562e-05
6.1871e-06,9.7219e-11,1.4302e-08,0.76103,7.5743e-06,8.93e-11,1.6218e-08,0.70497,1.0338e-05,7.443e-11,1.8631e-08,0.59337,1.6122e-05,4.4724e-11,1.7623e-08,0.3599,2.2003e-05,1.5162e-11,8.1898e-09,0.12255,2.4328e-05,3.5487e-12,2.1219e-09,0.028715,2.4891e-05,7.4028e-13,4.5299e-10,0.0059916,2.501e-05,1.5047e-13,9.2515e-11,0.0012179,2.5034e-05,3.042e-14,1.8722e-11,0.00024622,2.5039e-05,6.1432e-15,3.7816e-12,4.9724e-05
5.39e-06,1.0124e-10,1.2965e-08,0.79196,6.2609e-06,9.599e-11,1.4387e-08,0.75654,7.7281e-06,8.7666e-11,1.6358e-08,0.69689,1.0713e-05,7.1696e-11,1.873e-08,0.57562,1.6748e-05,4.0806e-11,1.6816e-08,0.33057,2.2265e-05,1.3106e-11,7.2079e-09,0.10658,2.4288e-05,3.005e-12,1.8046e-09,0.024463,2.4766e-05,6.2379e-13,3.8206e-10,0.005079,2.4866e-05,1.2666e-13,7.7891e-11,0.0010313,2.4886e-05,2.5601e-14,1.5757e-11,0.00020846
4.7852e-06,1.043e-10,1.1851e-08,0.81542,5.3705e-06,1.0055e-10,1.291e-08,0.79144,6.2434e-06,9.5298e-11,1.4331e-08,0.75572,7.7182e-06,8.694e-11,1.6302e-08,0.6954,1.073e-05,7.0845e-11,1.8652e-08,0.57232,1.6774e-05,3.9925e-11,1.6579e-08,0.32542,2.2196e-05,1.2705e-11,7.0083e-09,0.10395,2.416e-05,2.9035e-12,1.7449e-09,0.023779,2.4621e-05,6.0225e-13,3.6891e-10,0.0049332,2.4717e-05,1.2227e-13,7.5191e-11,0.0010015
