2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0,2.6083e-05,0,0,0
2.4964e-05,5.8187e-12,0.00037835,0.040266,2.5835e-05,9.6806e-13,6.5153e-05,0.0067001,2.5981e-05,1.5496e-13,1.0489e-05,0.0010725,2.6004e-05,2.4648e-14,1.6699e-06,0.0001706,2.6008e-05,3.9167e-15,2.6538e-07,2.7109e-05,2.6009e-05,6.2227e-16,4.2164e-08,4.307e-06,2.6009e-05,9.8862e-17,6.6988e-09,6.8427e-07
2.3783e-05,1.199e-11,0.00074469,0.083189,2.5557e-05,2.1004e-12,0.00014024,0.014579,2.5873e-05,3.3923e-13,2.2932e-05,0.0023547,2.5925e-05,5.4037e-14,3.6602e-06,0.00037509,2.5933e-05,8.5886e-15,5.8193e-07,5.9617e-05,2.5934e-05,1.3646e-15,9.2463e-08,9.4721e-06,2.5934e-05,2.168e-16,1.469e-08,1.5049e-06
2.253e-05,1.857e-11,0.0010954,0.12917,2.524e-05,3.4488e-12,0.00022807,0.024006,2.5759e-05,5.6304e-13,3.8003e-05,0.0039196,2.5844e-05,8.9846e-14,6.0843e-06,0.00062547,2.5857e-05,1.4284e-14,9.6781e-07,9.9439e-05,2.5859e-05,2.2696e-15,1.5379e-07,1.58e-05,2.586e-05,3.6058e-16,2.4433e-08,2.5102e-06
2.1195e-05,2.5623e-11,0.0014254,0.17867,2.4871e-05,5.0884e-12,0.00033253,0.03552,2.5634e-05,8.4187e-13,5.6711e-05,0.0058777,2.5761e-05,1.3464e-13,9.1147e-06,0.00094,2.5781e-05,2.1412e-14,1.4507e-06,0.0001495,2.5785e-05,3.4024e-15,2.3055e-07,2.3755e-05,2.5785e-05,5.4056e-16,3.663e-08,3.7741e-06
1.9766e-05,3.3219e-11,0.0017274,0.23218,2.443e-05,7.131e-12,0.00045905,0.04992,2.5495e-05,1.2e-12,8.0629e-05,0.008402,2.5676e-05,1.9245e-13,1.3024e-05,0.0013476,2.5705e-05,3.0621e-14,2.0746e-06,0.00021442,2.571e-05,4.866e-15,3.2973e-07,3.4073e-05,2.5711e-05,7.731e-16,5.2388e-08,5.4134e-06
1.8236e-05,4.1412e-11,0.0019909,0.29005,2.3887e-05,9.7442e-12,0.00061505,0.068406,2.5335e-05,1.6764e-12,0.00011226,0.011772,2.5588e-05,2.6989e-13,1.8255e-05,0.0018954,2.5628e-05,4.2969e-14,2.911e-06,0.00030176,2.5635e-05,6.8289e-15,4.6274e-07,4.7958e-05,2.5636e-05,1.085e-15,7.3524e-08,7.6196e-06
1.6607e-05,5.0199e-11,0.0022017,0.35222,2.3198e-05,1.3174e-11,0.00080981,0.092743,2.5142e-05,2.3354e-12,0.00015566,0.016448,2.5494e-05,3.7799e-13,2.5547e-05,0.0026623,2.5551e-05,6.0232e-14,4.08e-06,0.00042423,2.556e-05,9.5737e-15,6.4874e-07,6.7431e-05,2.5561e-05,1.5211e-15,1.0308e-07,1.0714e-05
1.491e-05,5.9425e-11,0.0023432,0.41753,2.2304e-05,1.7753e-11,0.001052,0.12531,2.4898e-05,3.2805e-12,0.00021715,0.023171,2.5391e-05,5.3505e-13,3.6122e-05,0.0037796,2.5472e-05,8.5366e-14,5.7816e-06,0.00060303,2.5485e-05,1.3571e-14,9.1963e-07,9.587e-05,2.5487e-05,2.1564e-15,1.4613e-07,1.5233e-05
1.3222e-05,6.8678e-11,0.0024036,0.48295,2.1142e-05,2.3833e-11,0.0013422,0.16866,2.4574e-05,4.6674e-12,0.00030583,0.033063,2.5274e-05,7.7001e-13,5.1898e-05,0.0054553,2.539e-05,1.2308e-13,8.3341e-06,0.00087204,2.5409e-05,1.9574e-14,1.3263e-06,0.00013868,2.5412e-05,3.1102e-15,2.1077e-07,2.2036e-05
1.1656e-05,7.733e-11,0.0023866,0.54397,1.9678e-05,3.1627e-11,0.0016616,0.22434,2.4133e-05,6.7095e-12,0.00043299,0.047666,2.5136e-05,1.126e-12,7.5699e-05,0.0080011,2.5306e-05,1.8051e-13,1.2218e-05,0.0012827,2.5333e-05,2.8719e-14,1.9459e-06,0.00020408,2.5337e-05,4.5637e-15,3.0928e-07,3.2429e-05
1.0303e-05,8.4863e-11,0.0023147,0.59691,1.7923e-05,4.1081e-11,0.0019698,0.29198,2.3523e-05,9.6969e-12,0.00061168,0.069085,2.4964e-05,1.6696e-12,0.00011181,0.011899,2.5215e-05,2.6884e-13,1.8185e-05,0.001916,2.5256e-05,4.2802e-14,2.9e-06,0.00030506,2.5262e-05,6.8024e-15,4.61e-07,4.8481e-05
9.1852e-06,9.1118e-11,0.0022151,0.6407,1.594e-05,5.1879e-11,0.0022156,0.36928,2.2667e-05,1.406e-11,0.00085698,0.10045,2.4737e-05,2.5166e-12,0.00016748,0.017988,2.5116e-05,4.0803e-13,2.7573e-05,0.0029167,2.5177e-05,6.5036e-14,4.4057e-06,0.0004649,2.5187e-05,1.0338e-14,7.0059e-07,7.3898e-05
8.2776e-06,9.6224e-11,0.0021072,0.67632,1.3853e-05,6.3357e-11,0.0023534,0.45133,2.1459e-05,2.0391e-11,0.0011797,0.14605,2.4419e-05,3.8723e-12,0.00025515,0.02776,2.5e-05,6.3493e-13,4.2836e-05,0.0045521,2.5096e-05,1.0139e-13,6.8667e-06,0.00072692,2.5112e-05,1.6121e-14,1.0925e-06,0.00011558
