2.6083e-05,0,0,0,2.6083e-05,0,0,0
2.5229e-05,3.5179e-12,2.1061e-09,0.027484,2.5899e-05,1.7441e-13,1.0722e-10,0.001363
2.4336e-05,7.2312e-12,4.1987e-09,0.056804,2.5711e-05,3.7018e-13,2.2722e-10,0.0029096
2.3396e-05,1.1179e-11,6.2743e-09,0.088293,2.5517e-05,5.93e-13,3.6334e-10,0.004688
2.24e-05,1.5415e-11,8.3278e-09,0.1224,2.5316e-05,8.5107e-13,5.2037e-10,0.0067673
2.1332e-05,2.0013e-11,1.0352e-08,0.15977,2.5106e-05,1.1567e-12,7.0547e-10,0.0092514
2.017e-05,2.5086e-11,1.2334e-08,0.20133,2.4882e-05,1.5296e-12,9.3003e-10,0.012306
1.8881e-05,3.0814e-11,1.4254e-08,0.24856,2.4638e-05,2.004e-12,1.2137e-09,0.016218
1.7401e-05,3.7513e-11,1.6071e-08,0.30408,2.436e-05,2.6473e-12,1.5946e-09,0.021551
1.5602e-05,4.5853e-11,1.769e-08,0.3733,2.4016e-05,3.6202e-12,2.1625e-09,0.029646
1.3121e-05,5.7729e-11,1.8786e-08,0.47138,2.3494e-05,5.4822e-12,3.2224e-09,0.045159
8.5589e-06,8.0806e-11,1.7074e-08,0.65677,2.194e-05,1.2499e-11,6.8981e-09,0.10352
5.6983e-06,9.614e-11,1.3391e-08,0.77373,1.9264e-05,2.5149e-11,1.2243e-08,0.20923
4.6373e-06,1.02e-10,1.1504e-08,0.81678,1.6801e-05,3.6785e-11,1.5685e-08,0.30736
4.011e-06,1.055e-10,1.0258e-08,0.84205,1.379e-05,5.1286e-11,1.8002e-08,0.4298
3.5742e-06,1.0797e-10,9.3319e-09,0.85959,8.0555e-06,8.0428e-11,1.6375e-08,0.66927
3.2436e-06,1.0984e-10,8.5989e-09,0.87283,5.0747e-06,9.6747e-11,1.2245e-08,0.79441
2.9804e-06,1.1134e-10,7.9964e-09,0.88333,4.0996e-06,1.0237e-10,1.0397e-08,0.83501
2.764e-06,1.1257e-10,7.488e-09,0.89195,3.5378e-06,1.057e-10,9.2225e-09,0.85826
2.5815e-06,1.1362e-10,7.0505e-09,0.8992,3.1521e-06,1.0803e-10,8.3692e-09,0.87415
2.4249e-06,1.1452e-10,6.6685e-09,0.90541,2.8632e-06,1.098e-10,7.7051e-09,0.88601
2.2885e-06,1.153e-10,6.331e-09,0.91081,2.635e-06,1.1122e-10,7.1658e-09,0.89534
2.1684e-06,1.16e-10,6.0299e-09,0.91556,2.4483e-06,1.1239e-10,6.7147e-09,0.90295
2.0615e-06,1.1661e-10,5.7591e-09,0.91977,2.2916e-06,1.1338e-10,6.3291e-09,0.90932
1.9656e-06,1.1717e-10,5.5139e-09,0.92355,2.1573e-06,1.1424e-10,5.994e-09,0.91476
1.8791e-06,1.1767e-10,5.2905e-09,0.92696,2.0406e-06,1.1498e-10,5.699e-09,0.91949
