0.17121,0.0046757,0.0015047,0.16953,0.0038385,0.0031791,0.16761,0.0028754,0.0051054,0.16529,0.0017179,0.0074204,0.16297,0.00055652,0.0097431,0.16207,0.00010554,0.010645,0.16189,1.7293e-05,0.010822
0.17126,0.0049498,0.00145,0.16966,0.0041503,0.0030491,0.16785,0.0032434,0.0048628,0.1657,0.0021702,0.0070093,0.16321,0.0009255,0.0094986,0.16177,0.00020238,0.010945,0.16143,3.4154e-05,0.011281
0.17131,0.0052219,0.0013993,0.16978,0.0044565,0.0029302,0.16807,0.003599,0.0046451,0.16607,0.0026023,0.0066384,0.16367,0.0014014,0.0090402,0.16164,0.00038326,0.011077,0.16101,6.856e-05,0.011706
0.17136,0.0054922,0.0013522,0.16989,0.0047578,0.002821,0.16826,0.0039439,0.0044488,0.1664,0.0030135,0.0063096,0.16418,0.0019018,0.0085329,0.16176,0.00069457,0.010947,0.16065,0.00013884,0.012059
0.1714,0.0057609,0.0013083,0.16999,0.0050548,0.0027204,0.16844,0.0042796,0.0042708,0.16669,0.0034062,0.0060176,0.16465,0.0023824,0.0080652,0.1622,0.0011594,0.010511,0.16045,0.00028239,0.012265
0.17144,0.0060281,0.0012672,0.17008,0.0053481,0.0026273,0.1686,0.0046075,0.0041085,0.16695,0.0037834,0.0057566,0.16506,0.0028355,0.0076524,0.16278,0.0016965,0.0099305,0.16049,0.00055115,0.012221
0.17148,0.0062941,0.0012288,0.17017,0.005638,0.0025408,0.16875,0.0049286,0.0039597,0.16719,0.0041476,0.0055218,0.16542,0.0032639,0.0072891,0.16334,0.0022217,0.0093736,0.16089,0.00099616,0.011825
0.17152,0.0065589,0.0011927,0.17025,0.005925,0.0024604,0.16889,0.0052439,0.0038226,0.1674,0.0045007,0.0053089,0.16574,0.0036716,0.0069672,0.16383,0.0027138,0.0088827,0.16152,0.0015602,0.01119
0.17155,0.0068226,0.0011587,0.17033,0.0062093,0.0023852,0.16902,0.005554,0.0036959,0.1676,0.0048445,0.0051148,0.16603,0.0040622,0.0066795,0.16426,0.0031748,0.0084542,0.16216,0.0021247,0.010554
0.17158,0.0070853,0.0011267,0.1704,0.0064912,0.0023148,0.16913,0.0058595,0.0035783,0.16777,0.0051803,0.0049368,0.16629,0.0044386,0.0064201,0.16463,0.0036101,0.0080772,0.16272,0.0026512,0.0099948
0.17162,0.0073472,0.0010964,0.17046,0.006771,0.0022488,0.16924,0.006161,0.0034688,0.16794,0.005509,0.0047727,0.16653,0.0048031,0.0061846,0.16497,0.0040243,0.0077421,0.1632,0.0031406,0.0095096
0.17164,0.0076082,0.0010678,0.17052,0.0070488,0.0021866,0.16935,0.0064589,0.0033665,0.16809,0.0058317,0.0046209,0.16674,0.0051574,0.0059694,0.16527,0.0044214,0.0074415,0.16363,0.0035995,0.0090853
0.17167,0.0078685,0.0010407,0.17058,0.0073248,0.0021281,0.16944,0.0067536,0.0032706,0.16823,0.006149,0.0044798,0.16694,0.0055031,0.0057715,0.16554,0.0048042,0.0071693,0.164,0.004034,0.0087098
0.1717,0.0081281,0.001015,0.17064,0.0075992,0.0020727,0.16953,0.0070453,0.0031805,0.16836,0.0064615,0.0043482,0.16712,0.0058412,0.0055888,0.16579,0.005175,0.0069212,0.16434,0.0044487,0.0083739
0.17172,0.008387,0.00099054,0.17069,0.0078721,0.0020203,0.16962,0.0073344,0.0030958,0.16849,0.0067698,0.0042251,0.16729,0.0061727,0.0054192,0.16602,0.0055355,0.0066936,0.16464,0.0048471,0.0080705
0.17174,0.0086454,0.00096728,0.17074,0.0081437,0.0019707,0.1697,0.0076211,0.0030158,0.1686,0.0070743,0.0041096,0.16745,0.0064984,0.0052613,0.16623,0.0058872,0.0064837,0.16492,0.0052319,0.0077943
0.17177,0.0089032,0.00094511,0.17079,0.008414,0.0019236,0.16977,0.0079057,0.0029402,0.16871,0.0073753,0.004001,0.1676,0.0068189,0.0051138,0.16642,0.0062312,0.0062891,0.16517,0.0056051,0.0075413
0.17179,0.0091605,0.00092397,0.17083,0.0086831,0.0018787,0.16984,0.0081882,0.0028685,0.16881,0.0076732,0.0038986,0.16774,0.0071348,0.0049755,0.1666,0.0065685,0.0061081,0.1654,0.0059685,0.007308
0.17181,0.0094173,0.00090378,0.17088,0.0089512,0.0018361,0.16991,0.008469,0.0028006,0.16891,0.0079683,0.0038018,0.16787,0.0074465,0.0048455,0.16677,0.0068997,0.005939,0.16562,0.0063232,0.007092
0.17183,0.0096737,0.00088447,0.17092,0.0092183,0.0017954,0.16998,0.008748,0.002736,0.169,0.0082609,0.0037102,0.16799,0.0077545,0.004723,0.16693,0.0072257,0.0057806,0.16582,0.0066704,0.0068911
0.17185,0.0099297,0.00086599,0.17096,0.0094844,0.0017565,0.17004,0.0090254,0.0026745,0.16909,0.008551,0.0036233,0.1681,0.008059,0.0046073,0.16708,0.0075468,0.0056317,0.16601,0.007011,0.0067034
0.17186,0.010185,0.00084829,0.17099,0.0097497,0.0017194,0.1701,0.0093015,0.0026159,0.16917,0.008839,0.0035408,0.16821,0.0083605,0.0044978,0.16722,0.0078637,0.0054915,0.16618,0.0073456,0.0065276
0.17188,0.010441,0.00083131,0.17103,0.010014,0.0016839,0.17015,0.0095762,0.00256,0.16925,0.009125,0.0034623,0.16832,0.0086592,0.004394,0.16735,0.0081766,0.0053591,0.16635,0.007675,0.0063624
0.1719,0.010695,0.00081501,0.17106,0.010278,0.0016498,0.17021,0.0098496,0.0025065,0.16932,0.0094092,0.0033874,0.16842,0.0089552,0.0042953,0.16748,0.008486,0.0052337,0.1665,0.0079995,0.0062067
0.17191,0.01095,0.00079935,0.17109,0.010541,0.0016172,0.17026,0.010122,0.0024554,0.1694,0.0096916,0.003316,0.16851,0.0092489,0.0042015,0.1676,0.0087922,0.0051148,0.16665,0.0083198,0.0060596
0.17193,0.011204,0.0007843,0.17113,0.010803,0.0015859,0.17031,0.010393,0.0024064,0.16946,0.0099725,0.0032477,0.1686,0.0095403,0.004112,0.16771,0.0090954,0.0050019,0.16679,0.0086361,0.0059204
0.17194,0.011458,0.00076981,0.17116,0.011065,0.0015558,0.17035,0.010663,0.0023595,0.16953,0.010252,0.0031824,0.16868,0.0098298,0.0040267,0.16782,0.0093959,0.0048944,0.16692,0.0089489,0.0057883
0.17196,0.011712,0.00075586,0.17118,0.011326,0.0015269,0.1704,0.010933,0.0023144,0.16959,0.01053,0.0031199,0.16877,0.010117,0.0039451,0.16792,0.0096938,0.0047919,0.16705,0.0092584,0.0056628
0.17197,0.011965,0.00074241,0.17121,0.011587,0.0014991,0.17044,0.011201,0.0022711,0.16965,0.010807,0.0030599,0.16884,0.010403,0.003867,0.16802,0.0099895,0.0046941,0.16717,0.0095649,0.0055434
