2.1148e+10,1.9783e+10,3.6466e+14,1.2295e+13,2.2607e-07,13.757,3.9731e-23,27.513,27.513,2.653e+10,2.4817e+10,4.4937e+14,1.1637e+13,3.3078e-07,16.334,5.6015e-23,32.668,32.668,4.1701e+10,3.9008e+10,6.889e+14,1.014e+13,6.9453e-07,22.371,1.0507e-22,44.743,44.743
1.9563e+10,1.8299e+10,3.3764e+14,1.2439e+13,1.9589e-07,12.874,3.4796e-23,25.748,25.748,2.3534e+10,2.2014e+10,3.9965e+14,1.1913e+13,2.6715e-07,14.833,4.6193e-23,29.666,29.666,3.1975e+10,2.991e+10,5.3191e+14,1.0992e+13,4.4573e-07,18.595,7.2592e-23,37.19,37.19
1.8223e+10,1.7046e+10,3.1478e+14,1.2561e+13,1.7179e-07,12.11,3.0789e-23,24.22,24.22,2.127e+10,1.9896e+10,3.6198e+14,1.2125e+13,2.2258e-07,13.644,3.9085e-23,27.289,27.289,2.6776e+10,2.5047e+10,4.4758e+14,1.1464e+13,3.2759e-07,16.241,5.5378e-23,32.482,32.482
1.7072e+10,1.5969e+10,2.9511e+14,1.2666e+13,1.5215e-07,11.44,2.7477e-23,22.88,22.88,1.9478e+10,1.822e+10,3.3209e+14,1.2294e+13,1.896e-07,12.669,3.3699e-23,25.339,25.339,2.3383e+10,2.1873e+10,3.9231e+14,1.1782e+13,2.5769e-07,14.576,4.4602e-23,29.151,29.151
1.607e+10,1.5032e+10,2.7797e+14,1.2758e+13,1.3588e-07,10.847,2.4701e-23,21.694,21.694,1.8012e+10,1.6849e+10,3.0758e+14,1.2434e+13,1.6425e-07,11.849,2.9478e-23,23.699,23.699,2.0932e+10,1.958e+10,3.5223e+14,1.2016e+13,2.1123e-07,13.307,3.7177e-23,26.614,26.614
1.5189e+10,1.4208e+10,2.6288e+14,1.2839e+13,1.2222e-07,10.317,2.2347e-23,20.634,20.634,1.6784e+10,1.57e+10,2.8699e+14,1.2552e+13,1.4416e-07,11.147,2.6085e-23,22.293,22.293,1.9048e+10,1.7818e+10,3.2133e+14,1.2199e+13,1.7804e-07,12.294,3.1734e-23,24.589,24.589
1.4406e+10,1.3476e+10,2.4946e+14,1.2911e+13,1.1062e-07,9.8401,2.0329e-23,19.68,19.68,1.5736e+10,1.472e+10,2.6939e+14,1.2654e+13,1.2789e-07,10.535,2.3301e-23,21.07,21.07,1.754e+10,1.6407e+10,2.9652e+14,1.2349e+13,1.5313e-07,11.459,2.7569e-23,22.918,22.918
1.3705e+10,1.282e+10,2.3743e+14,1.2975e+13,1.0067e-07,9.4083,1.8584e-23,18.817,18.817,1.4827e+10,1.387e+10,2.541e+14,1.2743e+13,1.1447e-07,9.9961,2.0978e-23,19.992,19.992,1.6295e+10,1.5243e+10,2.7599e+14,1.2473e+13,1.3375e-07,10.754,2.4278e-23,21.507,21.507
1.3074e+10,1.2229e+10,2.2658e+14,1.3034e+13,9.2054e-08,9.0151,1.7063e-23,18.03,18.03,1.403e+10,1.3124e+10,2.4067e+14,1.2821e+13,1.0322e-07,9.5167,1.9014e-23,19.033,19.033,1.5245e+10,1.4261e+10,2.5862e+14,1.258e+13,1.1826e-07,10.146,2.1614e-23,20.293,20.293
1.2501e+10,1.1693e+10,2.1674e+14,1.3087e+13,8.454e-08,8.6552,1.5728e-23,17.31,17.31,1.3324e+10,1.2463e+10,2.2875e+14,1.289e+13,9.3671e-08,9.0865,1.7334e-23,18.173,18.173,1.4344e+10,1.3417e+10,2.4368e+14,1.2672e+13,1.056e-07,9.6162,1.9414e-23,19.232,19.232
1.1979e+10,1.1205e+10,2.0777e+14,1.3135e+13,7.7942e-08,8.3244,1.4548e-23,16.649,16.649,1.2692e+10,1.1873e+10,2.1808e+14,1.2953e+13,8.5481e-08,8.6978,1.5883e-23,17.396,17.396,1.3558e+10,1.2683e+10,2.3064e+14,1.2753e+13,9.5082e-08,9.1479,1.7569e-23,18.296,18.296
